COMM_NAME,Date,WPI
Rice,1994-04,106.2
Wheat,1994-04,106.8
Jowar,1994-04,112.7
Bajra,1994-04,137.8
Maize,1994-04,133.5
Barley,1994-04,118.9
Ragi,1994-04,102.6
Gram,1994-04,101
Arhar,1994-04,101.9
Moong,1994-04,115.7
Masur,1994-04,114.1
Urad,1994-04,134.1
Potato,1994-04,71.6
Sweet Potato,1994-04,95.3
Onion,1994-04,61.7
Tapioca,1994-04,102
Ginger,1994-04,100.4
Peas,1994-04,9999.9
Tomato,1994-04,9999.9
Cauliflower,1994-04,9999.9
BRINJAL,1994-04,94.3
OKRA,1994-04,134
CABBAGE,1994-04,74.2
Banana,1994-04,100.9
Mango,1994-04,105
apple,1994-04,110.5
Orange,1994-04,107.9
Cashewnuts,1994-04,108.3
Coconut,1994-04,93.3
Papaya,1994-04,116.4
Grapes,1994-04,9999.9
PINEAPPLE,1994-04,107.9
GUAVA,1994-04,114.6
LITCHI,1994-04,9999.9
SAPOTA,1994-04,93.7
Rice,1994-05,107.9
Wheat,1994-05,104.4
Jowar,1994-05,115.9
Bajra,1994-05,136.1
Maize,1994-05,134.8
Barley,1994-05,126
Ragi,1994-05,104.3
Gram,1994-05,103
Arhar,1994-05,100.3
Moong,1994-05,116.7
Masur,1994-05,113.5
Urad,1994-05,140.9
Potato,1994-05,88.6
Sweet Potato,1994-05,140.6
Onion,1994-05,55.7
Tapioca,1994-05,105.1
Ginger,1994-05,100.4
Peas,1994-05,9999.9
Tomato,1994-05,9999.9
Cauliflower,1994-05,9999.9
BRINJAL,1994-05,78.3
OKRA,1994-05,82.8
CABBAGE,1994-05,92.6
Banana,1994-05,101.1
Mango,1994-05,100.4
apple,1994-05,122.6
Orange,1994-05,131.5
Cashewnuts,1994-05,110.7
Coconut,1994-05,85.5
Papaya,1994-05,114.2
Grapes,1994-05,9999.9
PINEAPPLE,1994-05,112.3
GUAVA,1994-05,118.2
LITCHI,1994-05,9999.9
SAPOTA,1994-05,100.1
Rice,1994-06,109.2
Wheat,1994-06,104.9
Jowar,1994-06,115.7
Bajra,1994-06,132.8
Maize,1994-06,137.6
Barley,1994-06,132.6
Ragi,1994-06,102.7
Gram,1994-06,102.1
Arhar,1994-06,102.3
Moong,1994-06,114.9
Masur,1994-06,119.3
Urad,1994-06,140.3
Potato,1994-06,103.5
